True |¨/! |¨,Clivia_miniata,Guzmania_lingulata,Dracaena_braunii,Gynura_aurantiaca,Dendrobium_phalaenopsis,Zamioculcas_zamiifolia,Aerides_japonica,Beaucarnea_recurvata,Rhapis_excelsa_Variegata,Trachelospermum_asiaticum,Camellia_japonica,Robusta,Euonymus_japonica,Aucuba_japonica,New_Guinea,Senecio_rowleyanus,Nandina_domestica,Zamia_furfuracea,Dracaena_sanderiana,Monstera,Nematanthus_gregarius,Osmanthus_fragrans,Ficus_retusa,Duffii,Podocarpus_macrophyllus,Begonia_semperflorens,Neoregelia_carolinae,Gaultheria,Begonia_spp,Cupressus_macrocarpa_Wilma,Pelargonium_rosium,Rhapis_excelsa,Glecoma,Caryota_urens,Maranta_leuconeura,Dizygotheca_elegantissima,Ficus_benjamina,Rohdea_japonica,Cyrtomium_falcatum,Rumohra_adiantiformis,Duranta_reptans,variegatum,Ruscus_spp,Ficus_elastica,Ficus_lyrata,Begonia_rex,Mandevilla,Pittosporum_tobira,Polyscias_balfouriana,Begonia_Angel_Wing,Ceropegia_woodii
Clivia_miniata,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guzmania_lingulata,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracaena_braunii,,,86%,,,,,,,,,,,,,,,,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gynura_aurantiaca,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendrobium_phalaenopsis,,,,,93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,,,,,,,,,,,,,,,,,
Zamioculcas_zamiifolia,,,,,,71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29%,,,
Aerides_japonica,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaucarnea_recurvata,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhapis_excelsa_Variegata,,,,,,,,,47%,,,,,,,,,,,,,,,,,,,,,,,27%,,7%,,,7%,,7%,,,,,,,,,,,,7%
Trachelospermum_asiaticum,,,,,,,,,,75%,,,,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,,,,,,,,,
Camellia_japonica,,,,,,,,,,,92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,,,,
Robusta,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euonymus_japonica,,,,,,,,,,,,,85%,,,,,,,,,,8%,,,,,,,8%,,,,,,,,,,,,,,,,,,,,,
Aucuba_japonica,,,,,,,,,,,8%,,17%,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_Guinea,,,,,,,,,,,,,,,92%,,,,,,,,,,,,,,8%,,,,,,,,,,,,,,,,,,,,,,
